topology,policy,injection_rate,power_cap,run_name,converged,latency_avg,control_latency_avg,batch_latency_avg,control_p99,batch_p99,control_throughput,batch_throughput,power_avg,power_peak,freq_avg,freq_min,throughput,elapsed_time,error,batch_nlat_p99,batch_p99_avg,batch_p99_csv,batch_plat_p99,batch_throughput_csv,control_nlat_p99,control_p99_avg,control_p99_csv,control_plat_p99,control_throughput_csv,exit_code,exp_id,summary_batch_p99,summary_control_p99,summary_policy,summary_power_cap,summary_total_power_avg
flatfly,queue_pid,0.4,0.5,flatfly_queue_pid_inj0.4_cap0.5,True,35.7438,35.7429,35.7438,288,274,0.12014,0.279617,0.5486279,0.71974,0.5440184375000001,0.518795,,71.69116592407227,,99,70.8,114,99,14.310269999999997,99,70.8,113,99,6.14996,255,52,99,99,queue_pid,0.5,0.548628
flatfly,queue_pid,0.4,0.6,flatfly_queue_pid_inj0.4_cap0.6,True,27.1582,27.0634,27.1582,157,167,0.120112,0.279682,0.5953648571428571,0.71974,0.6003021874999999,0.552402,,52.30699682235718,,63,42.714285714285715,75,64,12.776185714285715,64,43.142857142857146,77,64,5.489442857142857,255,53,63,64,queue_pid,0.6,0.595365
flatfly,queue_pid,0.4,0.7,flatfly_queue_pid_inj0.4_cap0.7,True,24.0592,23.9136,24.0592,138,138,0.120122,0.279691,0.6353355714285714,0.71974,0.6561826249999999,0.61198,,54.722774028778076,,50,35.285714285714285,56,50,12.776442857142856,51,35.857142857142854,56,51,5.4898,255,54,50,51,queue_pid,0.7,0.635336
flatfly,queue_pid,0.4,0.8,flatfly_queue_pid_inj0.4_cap0.8,True,29.3774,29.2873,29.3774,260,256,0.120069,0.279689,0.5998895454545455,0.71974,0.5674595,0.545066,,82.61130809783936,,76,55.36363636363637,89,77,14.63951818181818,77,54.45454545454545,89,77,6.286554545454544,255,55,76,77,queue_pid,0.8,0.59989
flatfly,queue_pid,0.4,1.0,flatfly_queue_pid_inj0.4_cap1.0,True,29.3774,29.2873,29.3774,260,256,0.120069,0.279689,0.5998895454545455,0.71974,0.5674595,0.545066,,82.70863699913025,,76,55.36363636363637,89,77,14.63951818181818,77,54.45454545454545,89,77,6.286554545454544,255,56,76,77,queue_pid,1,0.59989
flatfly,queue_pid,0.6,0.3,flatfly_queue_pid_inj0.6_cap0.3,True,5503.38,,,,,,,0.6840269999999998,0.768033,0.7962420625000001,0.596878,,92.47939991950989,,,763.5,1295,,15.7445625,,1350.375,2226,,8.5771875,0,57,,,,,
flatfly,queue_pid,0.6,0.4,flatfly_queue_pid_inj0.6_cap0.4,True,5074.57,,,,,,,0.6844501249999999,0.768033,0.8245523750000001,0.604955,,91.30299592018127,,,747.25,1296,,15.791625,,1348.125,2337,,8.58855,0,58,,,,,
flatfly,queue_pid,0.6,0.5,flatfly_queue_pid_inj0.6_cap0.5,True,5140.38,,,,,,,0.7019540000000001,0.772397,0.8400039375000002,0.584414,,101.16728925704956,,,811.5555555555555,1339,,16.610044444444444,,1435.0,2298,,8.910144444444445,0,59,,,,,
flatfly,queue_pid,0.6,0.6,flatfly_queue_pid_inj0.6_cap0.6,True,5464.78,,,,,,,0.7337600714285714,0.855651,0.8454150000000001,0.592444,,155.24104619026184,,,910.2142857142857,1293,,18.663421428571432,,1580.0714285714287,2322,,9.782157142857143,0,60,,,,,
flatfly,queue_pid,0.6,0.7,flatfly_queue_pid_inj0.6_cap0.7,True,3007.73,,,,,,,0.7862284500000001,0.940736,0.8304266250000001,0.633497,,213.7372179031372,,,1015.9,1899,,15.39749,,1477.15,4238,,7.452105,0,61,,,,,
flatfly,queue_pid,0.6,0.8,flatfly_queue_pid_inj0.6_cap0.8,False,,,,,,,,,,,,,300.0149881839752,timeout,,1102.48,2945,,13.310675999999999,,748.88,3863,,5.975568000000001,,62,,,,,
flatfly,queue_pid,0.6,1.0,flatfly_queue_pid_inj0.6_cap1.0,False,,,,,,,,,,,,,300.01468992233276,timeout,,1232.88,4171,,13.071084,,969.88,4445,,5.98384,,63,,,,,
flatfly,uniform,0.2,0.3,flatfly_uniform_inj0.2_cap0.3,True,23.2345,23.1541,23.2345,77,89,0.0597941,0.14027,0.485182625,0.671601,0.5,0.5,,39.436275005340576,,41,31.0,43,41,6.7292749999999995,41,31.75,43,41,2.8723375,255,1,41,41,uniform,0.3,0.485183
